,Şəhər,Sürətlər qutusu,Marka,Ötürücü,Model,Yeni,Buraxılış ili,Yürüş,Yerlərin sayı,Ban növü,Sahiblər,Rəng,Hansı bazar üçün yığılıb,Avtosalon,price,Motor,At gücü,Yanacaq,Yüngül lehimli disklər,Mərkəzi qapanma,Dəri salon,Oturacaqların ventilyasiyası,ABS,Park radarı,Ksenon lampalar,Lyuk,Kondisioner,Arxa görüntü kamerası,Yağış sensoru,Oturacaqların isidilməsi,Yan pərdələr
78,Bakı,Avtomat,Kia,Ön,Optima,Xeyr,2019,64374,5,Sedan,1,Qara,Digər,No,31900.0,1.6,178.0,Benzin,True,True,True,True,True,True,True,False,True,True,True,True,False
79,Bakı,Avtomat,BMW,Tam,X3,Xeyr,2015,96000,5,Offroader ,1,Göy,Amerika,No,33000.0,2.0,245.0,Benzin,False,False,False,False,False,False,False,False,False,False,False,False,False
80,Göyçay,Mexaniki,Hyundai,Ön,i30,Xeyr,2011,298770,5,"Universal, ",2,Qara,Avropa,No,16500.0,1.6,116.0,Dizel,False,True,True,True,True,True,True,False,True,False,True,True,False
81,Bakı,Reduktor,ZEEKR,Arxa,X,Bəli,2023,0,5,Offroader ,0,Çəhrayı,Çin,No,50490.0,0.0,272.0,Elektro,True,True,True,False,True,True,True,False,True,True,True,True,False
82,Bakı,Avtomat,Land Rover,Tam,Range Rover,Xeyr,2020,46800,5,Offroader ,1,Qara,Rəsmi diler,No,139400.0,3.0,350.0,Dizel,True,True,True,True,True,True,True,True,True,True,True,True,False
83,Bakı,Avtomat,BMW,Arxa,530e,Xeyr,2019,54000,5,Sedan,2,Qara,Amerika,No,61200.0,2.0,292.0,Plug-in Hibrid,True,True,True,False,True,True,True,True,True,True,True,True,False
84,Bakı,Avtomat,Land Rover,Tam,Range Rover,Xeyr,2016,181000,5,Offroader ,1,Qara,Digər,No,96730.0,3.0,340.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,False
107,Bərdə,Avtomat,Kia,Ön,Sorento,Xeyr,2010,140000,7,Offroader ,1,Ağ,Koreya,No,28000.0,2.0,184.0,Dizel,True,True,True,True,True,True,True,True,True,True,True,True,True
108,Bakı,Avtomat,Mercedes,Arxa,E 300 e,Xeyr,2020,73500,5,Sedan,1,Qara,Avropa,No,75650.0,3.0,320.0,Plug-in Hibrid,False,False,False,False,False,False,False,False,False,False,False,False,False
109,Bakı,Reduktor,ZEEKR,Tam,007,Bəli,2024,0,5,Liftbek,0,Bej,Digər,Yes,76330.0,0.0,647.0,Elektro,True,True,True,True,True,True,True,False,True,True,True,True,False
